location,Type,name
New BEL Road,Buffet,4
New BEL Road,Cafes,29
New BEL Road,Delivery,341
New BEL Road,Desserts,34
New BEL Road,Dine-out,225
New BEL Road,Drinks & nightlife,8
New BEL Road,Pubs and bars,8
Old Airport Road,Buffet,12
Old Airport Road,Cafes,5
Old Airport Road,Delivery,204
Old Airport Road,Desserts,37
Old Airport Road,Dine-out,167
Old Airport Road,Drinks & nightlife,12
Old Airport Road,Pubs and bars,9
Rajajinagar,Buffet,10
Rajajinagar,Cafes,4
Rajajinagar,Delivery,258
Rajajinagar,Desserts,55
Rajajinagar,Dine-out,251
Rajajinagar,Drinks & nightlife,3
Rajajinagar,Pubs and bars,10
Residency Road,Buffet,20
Residency Road,Cafes,31
Residency Road,Delivery,187
Residency Road,Desserts,63
Residency Road,Dine-out,290
Residency Road,Drinks & nightlife,55
Residency Road,Pubs and bars,26
Richmond Road,Buffet,63
Richmond Road,Cafes,25
Richmond Road,Delivery,257
Richmond Road,Desserts,78
Richmond Road,Dine-out,360
Richmond Road,Drinks & nightlife,16
Richmond Road,Pubs and bars,12
Sarjapur Road,Buffet,25
Sarjapur Road,Cafes,23
Sarjapur Road,Delivery,565
Sarjapur Road,Desserts,83
Sarjapur Road,Dine-out,326
Sarjapur Road,Drinks & nightlife,19
Sarjapur Road,Pubs and bars,22
Shanti Nagar,Buffet,9
Shanti Nagar,Cafes,22
Shanti Nagar,Delivery,198
Shanti Nagar,Desserts,39
Shanti Nagar,Dine-out,229
Shanti Nagar,Drinks & nightlife,9
Shanti Nagar,Pubs and bars,2
Shivajinagar,Buffet,6
Shivajinagar,Cafes,17
Shivajinagar,Delivery,143
Shivajinagar,Desserts,37
Shivajinagar,Dine-out,280
Shivajinagar,Drinks & nightlife,7
Shivajinagar,Pubs and bars,8
St. Marks Road,Buffet,5
St. Marks Road,Cafes,10
St. Marks Road,Delivery,115
St. Marks Road,Desserts,10
St. Marks Road,Dine-out,150
St. Marks Road,Drinks & nightlife,40
St. Marks Road,Pubs and bars,22
Ulsoor,Buffet,16
Ulsoor,Cafes,56
Ulsoor,Delivery,462
Ulsoor,Desserts,71
Ulsoor,Dine-out,359
Ulsoor,Drinks & nightlife,23
Ulsoor,Pubs and bars,30
Whitefield,Buffet,28
Whitefield,Cafes,51
Whitefield,Delivery,1064
Whitefield,Desserts,139
Whitefield,Dine-out,778
Whitefield,Drinks & nightlife,47
Whitefield,Pubs and bars,33
others,Buffet,83
others,Cafes,123
others,Delivery,2614
others,Desserts,253
others,Dine-out,1506
others,Drinks & nightlife,75
others,Pubs and bars,45
